image_path,raw_label,normalized_label,dataset,hash,crop,disease,crop_id,disease_id,severity
images\PlantVillage_9ad103c179bd13b1.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,9ad103c179bd13b13d80b8d4f3aaa6f6d6233e918657dc6bbfd40aafbbe41ba1,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_8809bab5bf975d5b.JPG,Potato___Early_blight,Potato__Early_Blight,PlantVillage,8809bab5bf975d5b53751d07a11022dae855add94f8375ea3be230863896a9b0,Potato,Early_Blight,1,2,0.5
images\PlantVillage_353dc345e5151b1b.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,353dc345e5151b1bab11f21cf074e0f4ee38857dfb8658e0d054c5953d6eac76,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_782bb59b2c21289b.JPG,Pepper__bell___healthy,Pepper__Healthy,PlantVillage,782bb59b2c21289bfa0e7ce905ae0c62d624e6831f2ec4e14f0f00cae362fedd,Pepper,Healthy,0,1,0.5
images\PlantVillage_4af1678e730df519.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,4af1678e730df5196defd7eede78dc4ee9cae3b8a7a33efa26b0d11149c020d3,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_802967b1e322c532.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,802967b1e322c532eb78c664405914a40589e2f451f093974623881c3c0f5cda,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_9f03019d5fba7310.JPG,Tomato_Early_blight,Tomato__Early_Blight,PlantVillage,9f03019d5fba731081343778052675091701644d17ecd1c5f6369395d4a35911,Tomato,Early_Blight,2,6,0.5
images\PlantVillage_0787e4c83d58960e.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,0787e4c83d58960ea1a3b7518b50f91754c4896ef0d4e9cad7dec7363af95831,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_5d62de82cec6456a.JPG,Pepper__bell___Bacterial_spot,Pepper__Bacterial_Spot,PlantVillage,5d62de82cec6456a36e59a1c49fcd5d3387a04b5319de59cc77606a1e24a4541,Pepper,Bacterial_Spot,0,0,0.5
images\PlantVillage_d7c763d9b0128653.JPG,Tomato_healthy,Tomato__Healthy,PlantVillage,d7c763d9b0128653bb6e7c4101de446a3e9b3cca2a3d0bccd2d7b7b6d3591203,Tomato,Healthy,2,8,0.5
images\PlantVillage_a70bd11cdc780b2b.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,a70bd11cdc780b2b8804ad770122f08a6095dae31201f57d4beeeca1d8e882c6,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_0c6a2424f5efc49f.JPG,Tomato_Late_blight,Tomato__Late_Blight,PlantVillage,0c6a2424f5efc49f2e66b5d7ce85cbc7b76dd5afa7eaa1e5471e9addbccbebc8,Tomato,Late_Blight,2,9,0.5
images\PlantVillage_44e6f8dc12260ff6.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,44e6f8dc12260ff6a522c7139e77d5940dcff71d2c00365e49a7cf042f502173,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_f05642230ab76eca.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,f05642230ab76eca52a60cf41632e1a15897f2f6ebe8ea8c4149cfdb4d791323,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_47efe4cf5e75363c.JPG,Tomato_Late_blight,Tomato__Late_Blight,PlantVillage,47efe4cf5e75363cde5eb2b859a7cee34a481ac804047a56c328360ff51a7812,Tomato,Late_Blight,2,9,0.5
images\PlantVillage_0d7ca768a421c766.JPG,Tomato_Bacterial_spot,Tomato__Bacterial_Spot,PlantVillage,0d7ca768a421c766c8f2ffec80903437f8328781dbbdd75368e23c13d7c347fe,Tomato,Bacterial_Spot,2,5,0.5
images\PlantVillage_a4e14ed4b8df0aae.JPG,Tomato_Septoria_leaf_spot,Tomato__Leaf_Spot,PlantVillage,a4e14ed4b8df0aaecdf763907c6c68b301f53bb2509f6c365af83c59719068eb,Tomato,Leaf_Spot,2,11,0.5
images\PlantVillage_23425d514eafc10d.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,23425d514eafc10d1eed56e906c62e3f78a64288d86b768a77353927bf84a38c,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_baa9fbbee8a94721.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,baa9fbbee8a94721237d552b21514ebc6788b0eeb2d99ab365227508c7a621d0,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_61bd0c9f65b90e62.JPG,Tomato_Bacterial_spot,Tomato__Bacterial_Spot,PlantVillage,61bd0c9f65b90e62f91f3d0b8f76b838bfe70712a69edcc49395062581acafc9,Tomato,Bacterial_Spot,2,5,0.5
images\PlantVillage_118f47bc93bfcc65.JPG,Tomato_Septoria_leaf_spot,Tomato__Leaf_Spot,PlantVillage,118f47bc93bfcc65b22a76a229504229161628ec439b3cb9b05b024aa4e91f47,Tomato,Leaf_Spot,2,11,0.5
images\PlantVillage_61fd73bdbeda748b.JPG,Tomato_Septoria_leaf_spot,Tomato__Leaf_Spot,PlantVillage,61fd73bdbeda748b96b7277590364abdb4169ba7f7e998c522f7a59be4f27481,Tomato,Leaf_Spot,2,11,0.5
images\PlantVillage_ab044fd71b64de5b.JPG,Tomato_healthy,Tomato__Healthy,PlantVillage,ab044fd71b64de5b4ba8f15c035b89dee2cf3e2506d38be73b9725c3747c6718,Tomato,Healthy,2,8,0.5
images\PlantVillage_638df48c3a7adb09.JPG,Tomato_Bacterial_spot,Tomato__Bacterial_Spot,PlantVillage,638df48c3a7adb09e40da28984f254a78f9a0e36ddb479f5ef62c23816a15bed,Tomato,Bacterial_Spot,2,5,0.5
images\PlantVillage_afb7fa4e8119884a.JPG,Tomato_Early_blight,Tomato__Early_Blight,PlantVillage,afb7fa4e8119884a9ea05c6298b2621ff6d57994c610140b3abca7258ec12572,Tomato,Early_Blight,2,6,0.5
images\PlantVillage_def5fe0e3fea6e73.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,def5fe0e3fea6e73570b39a98a75ac0a4d702422c783b042a93824eda09fc72a,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_3b607dfff8dee3bb.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,3b607dfff8dee3bb019d397a2fb1953a8c4f0c85873e807fd163772f194e8f92,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_d47fb7c1b74fc627.JPG,Potato___Late_blight,Potato__Late_Blight,PlantVillage,d47fb7c1b74fc6278f4e71dcb140fba619d710a7c16111ab78423ce354356c34,Potato,Late_Blight,1,4,0.5
images\PlantVillage_2cfe51411fa4845f.JPG,Potato___Late_blight,Potato__Late_Blight,PlantVillage,2cfe51411fa4845fdcced9da3e8378cdb31dce883bf107ef2b834e72a4d8bfeb,Potato,Late_Blight,1,4,0.5
images\PlantVillage_782996b0c0e8121d.JPG,Tomato__Target_Spot,Tomato__Fungal_Spot,PlantVillage,782996b0c0e8121d06a35457f792f77058ead3d094b50b04bf04138ba2d7d3dd,Tomato,Fungal_Spot,2,7,0.5
images\PlantVillage_4d3cfab2ac92c5c1.JPG,Tomato__Tomato_mosaic_virus,Tomato__Viral_Mosaic,PlantVillage,4d3cfab2ac92c5c158d816f8b572a198c84c11ad97636fe256d35bdd6c807dee,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_bb2f85350a436902.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,bb2f85350a436902c382afbd4fcde3512ac2756c45b11cce819a4f079b8e798c,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_e3af8da07b007aaa.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,e3af8da07b007aaa386f689adb9d48a6e461dca2b5bd21caace9ea5afd304b50,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_312bfb997779e1e0.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Mite_Damage,PlantVillage,312bfb997779e1e032ee41a4661b2157be6ec8124f8c3739a5e4db9bd5c44b2e,Tomato,Mite_Damage,2,12,0.5
images\PlantVillage_9ce52832664577d5.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Mite_Damage,PlantVillage,9ce52832664577d5c779bc4711b10a7f84ce3a48038a105f3c1e9bb3cab68371,Tomato,Mite_Damage,2,12,0.5
images\PlantVillage_84554d4e8ffab311.JPG,Tomato_Bacterial_spot,Tomato__Bacterial_Spot,PlantVillage,84554d4e8ffab3113f265828c48ef3a7f0a1de76e80324545d1773745f1cdbb0,Tomato,Bacterial_Spot,2,5,0.5
images\PlantVillage_70161ba5da272c35.JPG,Tomato_Late_blight,Tomato__Late_Blight,PlantVillage,70161ba5da272c35d5bd61fde03167e2a03a1b703b7e9d57418beac939b21b8b,Tomato,Late_Blight,2,9,0.5
images\PlantVillage_4e317880de732b20.JPG,Tomato_Septoria_leaf_spot,Tomato__Leaf_Spot,PlantVillage,4e317880de732b20abd88ab35f0a9fa51a056aebaeee584436d21f577abb450d,Tomato,Leaf_Spot,2,11,0.5
images\PlantVillage_a112acba9f511e39.JPG,Pepper__bell___healthy,Pepper__Healthy,PlantVillage,a112acba9f511e39a62ed9529ca15b1d5cc88fd5b222a739fa986f7642634745,Pepper,Healthy,0,1,0.5
images\PlantVillage_96baa8bba4a23978.JPG,Potato___Late_blight,Potato__Late_Blight,PlantVillage,96baa8bba4a2397887e94753a8908e35108a88a1c4715c7eab259a3bfae00b27,Potato,Late_Blight,1,4,0.5
images\PlantVillage_2cd41fc52a7c6b83.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Mite_Damage,PlantVillage,2cd41fc52a7c6b83157d365a74abb476dfe262ce3df13c7235fdd064d3ffdc08,Tomato,Mite_Damage,2,12,0.5
images\PlantVillage_47c5c9aa7d34e186.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,47c5c9aa7d34e1869f6d35faeaf900e08d27a2cee5a3f4c413eb919c3bbf3291,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_74371e7b82815730.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Viral_Mosaic,PlantVillage,74371e7b8281573059aed4b1161b3e23e7d6521573457ddc17a9eb498fad08de,Tomato,Viral_Mosaic,2,13,0.5
images\PlantVillage_6ae25721478da6aa.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Mite_Damage,PlantVillage,6ae25721478da6aaf4ef4a9e23f67850c4df88e63710a4bc78b06929a99cde6c,Tomato,Mite_Damage,2,12,0.5
images\PlantVillage_dfeefe47ff6642c7.JPG,Tomato_Late_blight,Tomato__Late_Blight,PlantVillage,dfeefe47ff6642c77fa8d339ebd2c4648bab3d0bd0088a56a457997a29c7b0cf,Tomato,Late_Blight,2,9,0.5
images\PlantVillage_dafe78da89fd613f.JPG,Tomato_Early_blight,Tomato__Early_Blight,PlantVillage,dafe78da89fd613f5e330267d892fbb7dfd1981d7448a9d38675561de31914e0,Tomato,Early_Blight,2,6,0.5
images\PlantVillage_0e57fa2bbd20e7e0.JPG,Tomato_Late_blight,Tomato__Late_Blight,PlantVillage,0e57fa2bbd20e7e0cb35435b4444b0b134072eecdedfa7ad1dfd4c7c5b2ec461,Tomato,Late_Blight,2,9,0.5
images\PlantVillage_9296a154d68c5d79.JPG,Pepper__bell___healthy,Pepper__Healthy,PlantVillage,9296a154d68c5d7923f5f43f89600293c2073c49cecdbe39f514f98d7ba05ad0,Pepper,Healthy,0,1,0.5
